"Publisher";"NA_Sales";"EU_Sales";"JP_Sales";"Other_Sales"
LSP Games;4.0;4.0;4.0;4.0
Game Factory;32.0;32.0;32.0;32.0
Compile Heart;20.0;20.0;20.0;20.0
Dusenberry Martin Racing;2.0;2.0;2.0;2.0
Answer Software;1.0;1.0;1.0;1.0
Intergrow;1.0;1.0;1.0;1.0
Knowledge Adventure;4.0;4.0;4.0;4.0
ITT Family Games;1.0;1.0;1.0;1.0
ASCII Entertainment;20.0;20.0;20.0;20.0
Plenty;1.0;1.0;1.0;1.0
Gamebridge;2.0;2.0;2.0;2.0
T&E Soft;1.0;1.0;1.0;1.0
Daedalic Entertainment;3.0;3.0;3.0;3.0
Vivendi Games;164.0;164.0;164.0;164.0
dramatic create;5.0;5.0;5.0;5.0
Minato Station;3.0;3.0;3.0;3.0
Phantagram;1.0;1.0;1.0;1.0
Fields;1.0;1.0;1.0;1.0
DTP Entertainment;45.0;45.0;45.0;45.0
Vic Tokai;2.0;2.0;2.0;2.0
imageepoch Inc.;2.0;2.0;2.0;2.0
Sweets;2.0;2.0;2.0;2.0
responDESIGN;2.0;2.0;2.0;2.0
Codemasters;152.0;152.0;152.0;152.0
Asylum Entertainment;6.0;6.0;6.0;6.0
Karin Entertainment;1.0;1.0;1.0;1.0
Hasbro Interactive;16.0;16.0;16.0;16.0
Creative Core;3.0;3.0;3.0;3.0
Mojang;5.0;5.0;5.0;5.0
SNK Playmore;18.0;18.0;18.0;18.0
MTO;8.0;8.0;8.0;8.0
Yumedia;1.0;1.0;1.0;1.0
Alvion;2.0;2.0;2.0;2.0
Infogrames;62.0;62.0;62.0;62.0
Activision Blizzard;1.0;1.0;1.0;1.0
Psygnosis;32.0;32.0;32.0;32.0
Titus;19.0;19.0;19.0;19.0
FuRyu;27.0;27.0;27.0;27.0
Alchemist;43.0;43.0;43.0;43.0
Daedalic;3.0;3.0;3.0;3.0
Midway Games;198.0;198.0;198.0;198.0
Square EA;1.0;1.0;1.0;1.0
Swing! Entertainment;6.0;6.0;6.0;6.0
Piacci;1.0;1.0;1.0;1.0
Universal Interactive;23.0;23.0;23.0;23.0
Kalypso Media;29.0;29.0;29.0;29.0
Simon & Schuster Interactive;1.0;1.0;1.0;1.0
Quinrose;14.0;14.0;14.0;14.0
Groove Games;2.0;2.0;2.0;2.0
Home Entertainment Suppliers;5.0;5.0;5.0;5.0
GameMill Entertainment;8.0;8.0;8.0;8.0
Cave;10.0;10.0;10.0;10.0
Summitsoft;1.0;1.0;1.0;1.0
Maximum Family Games;1.0;1.0;1.0;1.0
Illusion Softworks;1.0;1.0;1.0;1.0
Wanadoo;5.0;5.0;5.0;5.0
Taito;19.0;19.0;19.0;19.0
"2D Boy";1.0;1.0;1.0;1.0
Ascaron Entertainment GmbH;3.0;3.0;3.0;3.0
Yuke's;3.0;3.0;3.0;3.0
Insomniac Games;3.0;3.0;3.0;3.0
Moss;2.0;2.0;2.0;2.0
XS Games;12.0;12.0;12.0;12.0
UFO Interactive;16.0;16.0;16.0;16.0
Marvelous Interactive;56.0;56.0;56.0;56.0
HMH Interactive;2.0;2.0;2.0;2.0
Paon;6.0;6.0;6.0;6.0
Princess Soft;3.0;3.0;3.0;3.0
Zoo Games;33.0;33.0;33.0;33.0
Yacht Club Games;3.0;3.0;3.0;3.0
City Interactive;19.0;19.0;19.0;19.0
Enjoy Gaming ltd.;1.0;1.0;1.0;1.0
ASCII Media Works;9.0;9.0;9.0;9.0
Success;19.0;19.0;19.0;19.0
Lighthouse Interactive;1.0;1.0;1.0;1.0
Avanquest Software;9.0;9.0;9.0;9.0
System Soft;4.0;4.0;4.0;4.0
Encore;4.0;4.0;4.0;4.0
CDV Software Entertainment;6.0;6.0;6.0;6.0
